Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Wales
Areal series, starting in 1836
Last updated 03-Aug-2026 09:28
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1998  207.7   44.6  186.4  162.3   32.7  192.5   90.9   83.4  138.6  280.0  139.7  156.0   412.2   381.4   366.8   558.3  1714.9
1999  250.9  104.1  100.2  122.5   83.4   84.8   28.0  138.0  204.3  137.4  125.5  261.6   511.0   306.1   250.8   467.2  1640.7
2000  111.1  178.6   66.6  153.5   97.7   89.0   87.6  106.8  167.3  284.5  287.2  256.1   551.4   317.7   283.4   739.0  1885.9
2001  100.6  131.3  115.5  141.4   59.3   47.5  111.1  132.3   97.0  207.3  130.0   75.7   488.0   316.2   290.9   434.3  1349.0
2002  180.7  267.7   66.1   99.8  149.2   76.3   73.9   75.3   36.3  199.6  231.2  173.1   524.1   315.2   225.5   467.1  1629.2
2003  114.1   63.3   78.0   78.9  129.1   71.2  125.0   24.8   58.4   91.0  141.6  161.4   350.5   286.1   221.0   291.1  1137.0
2004  192.7  119.9   90.1   81.5   66.5   74.1   78.8  157.1  145.1  257.0   90.5  132.9   474.0   238.1   310.0   492.6  1486.2
2005  124.0   78.3   74.8  114.7   63.0   74.6   87.6   69.7  101.7  216.7  185.4  113.3   335.2   252.6   231.8   503.8  1303.8
2006   65.5   79.9  173.8   68.5  164.9   35.4   51.7  103.0   83.2  188.0  198.0  258.5   258.7   407.2   190.2   469.2  1470.6
2007  203.3  145.3  104.1   24.9  129.7  168.1  204.3   75.5   92.0   61.3   93.3  184.1   607.1   258.7   448.0   246.5  1485.9
2008  246.2   80.3  147.3   90.2   60.9   94.2  150.5  189.7  154.6  228.7  127.9   94.9   510.5   298.3   434.4   511.3  1665.4
2009  168.4   32.8   68.0   76.9   93.1   74.7  226.4  101.8   53.1  128.9  318.7  154.0   296.0   238.0   403.0   500.7  1496.8
2010  100.3   60.9   99.6   43.6   53.4   42.2  158.6  105.5  152.5  119.0  140.7   52.7   315.1   196.5   306.3   412.2  1128.9
